type	target	minutes	show	title
youtube	7SObrtWSxO4	57	Katie Halper	Kiriakou & Gerald Horne on the Indictment of "Russian Agents"
youtube	O_EGMUFABEg	55	Panquake / Lee Camp	CIA Whistleblower Joins Lee Camp to talk Panquake
youtube	LThb4bBpGUw	48	Fortress On A Hill	John Kiriakou — Ep 133 (probe dup vs 6kmi7Tkpf7Q)
youtube	5Wj4fhopkfc	46	ScheerPost	Scheer Intelligence: Kiriakou on Biden's Groveling
youtube	jwO3anoP4ho	45	Panquake / Lee Camp	FULL INTERVIEW: Kiriakou & Sean O'Brien talk Panquake
youtube	66Qg8cgApSE	45	Graham Elwood	FULL INTERVIEW: Kiriakou & Sean O'Brien Panquake (probe dup)
youtube	YEnVwfMlgWQ	43	Unfiltered With S.A.M.	Who Really Controls U.S. Intelligence?
youtube	7Ewyza8fR3o	42	David Gornoski	On Torture, Prison PTSD
youtube	_oVLXe7WG8Q	41	Jamarl Thomas	How Mossad & CIA Recruit in Iran
youtube	kFAHekt9_mg	40	Caleb Maupin	Divisions in the US Deep State (w/ Lee Stranahan)
youtube	mXpQfO_oTsQ	39	Dr. David Oualaalou	Iran-Israel Possible Open War
youtube	z_xfYPpMpDA	38	Garland Nixon	Talk about the Michael Sussmann case
youtube	7tXTtCHZs0g	38	Arn Menconi	My interview w/ whistleblower John Kiriakou
youtube	S-gLB2NWAHg	37	Slow News Day	SND #30 w/ John Kiriakou
youtube	nwjOYQzyoXA	37	Garland Nixon	Talk About the US Congress
youtube	zWTHWRbcuyI	36	Kevin Gosztola	Every Official Everywhere With Classified Documents
youtube	OeU8ioca92M	36	Kevin Gosztola	Kevin Gosztola
youtube	oyks6CQbs-8	34	WorldBeyondWar.org	#NoWar2017 Pt 4: Sam Adams Associates (Drake, McGovern)
youtube	cuzCBOB3l2c	34	Garland Nixon	After Afghanistan
youtube	hohHB8bGCxM	33	Jamarl Thomas	What's Really Happening In Israel: Mossad
youtube	chQTXijz4rc	33	Graham Elwood	Kiriakou & Sean O'Brien Explain Panquake
youtube	RCZWqXneXfY	30	Rob Kall Bottom-up Show	Discusses Ukraine Phone Call
youtube	bb7H9yCfNfg	30	Edward Rhymes	Rhymes & Reasons (2018-10-09)
youtube	OjWJyN0gmqo	30	Daniel Davis / Deep Dive	Ukraine Drone Strike on Russia
youtube	hYVznzuvhgA	29	Crossing Faiths	John Pinna & Kiriakou on Afghanistan
youtube	azE9ZRPJdvk	28	Real News — Reality Asserts Itself	Real News — Reality Asserts Itself
youtube	Kh0vejtIEhE	27	Caleb Maupin	Cuba Crisis, Marxism & Automation
youtube	nSl53qIE81I	26	The Real News Network	Why I Was Targeted by the CIA (RAI 9/10)
youtube	yh7Ujo6BsEs	26	Real News — Reality Asserts Itself	Why I Was Targeted (RAI pt 9, probe dup)
youtube	DKbHPuKfF2k	26	Caleb Maupin	Sanctions & US Efforts in Eurasia
youtube	Es2hDUTNsfg	24	The Jimmy Dore Show	REAL Reason Trump Sent Troops To Saudi Oil
youtube	Sh5MxKJ1cWY	24	Real News — Reality Asserts Itself	Real News — Reality Asserts Itself
youtube	_dIlf769DK0	24	ProjectCensored	"It's Not About Justice"
youtube	j4cxV2fz6ks	24	Garland Nixon	Talk Afghanistan
youtube	c5B-fzDvyO8	23	Washington Report on Mid-East	Israel's negative influence on US security
youtube	fOgFKuk-VyU	23	David Gornoski	Explores Life as a Spy
youtube	hSG800M8n9c	22	The Jimmy Dore Show	Calls Out Trump's "Whistleblower"
youtube	CeOjkWALQBs	22	Real News — Reality Asserts Itself	Real News — Reality Asserts Itself
youtube	pI2RLIEnw8g	20	The Canada Files	Political Misfits — DC Witte, Kiriakou & August
youtube	Yum0-P_5_uA	19	Panquake / Lee Camp	Public Delivery Meeting #17 feat. Kiriakou, Suzie Dawson
youtube	47ucQ6ZdV0E	18	Consortium News	Belmarsh Tribunal Sydney
youtube	pdJl4buyoUA	17	The Real News Network	Iraq War a War Crime — Pushed by Cheney
youtube	T25WBmQsOho	16	Real News — Reality Asserts Itself	I Believed America Could Do No Wrong (RAI)
youtube	FgD6TEvkkYM	15	Real News — Reality Asserts Itself	Real News — Reality Asserts Itself
youtube	hbFXhHbMOHQ	14	Graham Elwood	Uncovered US Torture Program
youtube	WrFr4-_B1Lk	14	David Gornoski	Explores Life as a Spy (probe dup)
youtube	aw-LXWf9YCk	13	The Real News Network	People's Tribunal on the Iraq War, Day One
youtube	Dnc4DmtWkGw	13	Dialogue Works Highlights	US lacks long-term Middle East strategy
youtube	V2cJv7Ujeeg	12	Katie Halper	"Rudy Giuliani Tried To Shake Me Down For $2M"
youtube	NxX6zTLpqQE	12	Graham Elwood	Explains Assange Censorship
youtube	jTh_0DYD5TU	11	Katie Halper	"We're Led By A Cabal Of Criminals"
youtube	L1DYA1XSB44	9	Consortium News	Taibbi, Kiriakou & Hedges: Twitter Files (short)
youtube	zABTCtNuOFc	8	Kevin Gosztola	How Politicians Disqualify Whistleblowers
youtube	9D0JzqaGNKs	8	Jamarl Thomas	Jamarl Thomas
youtube	58ot2wKPwto	73	DeProgram (Ted Rall)	DeProgram (Ted Rall)
youtube	csLkVGSYwYU	67	John Kiriakou Podcast	Reveals Terrifying CIA Technology
youtube	EYUmojqVGwI	62	The Deep Focus Show	Trump's Iran Gamble w/ George Galloway
youtube	Tas6bgOQfD4	62	DeProgram (Ted Rall)	Israel's Discreet Ethnic Cleansing of Gaza
youtube	URbHPOAfub0	60	John Kiriakou Podcast	Terrifying CIA Technology They Don't Want You To Know
youtube	ClPOKa97jQg	60	DeProgram (Ted Rall)	Trump to Europe: DROP DEAD
youtube	ICmAUQl5FXA	60	DeProgram (Ted Rall)	Trump Snubs US Workers at Mar-a-Lago
youtube	GI7gFn7KjzI	59	DeProgram (Ted Rall)	DeProgram (Ted Rall)
youtube	guXefViRMCk	59	DeProgram (Ted Rall)	A Super Dumb Mass Murder
youtube	4uyLgnRHjk4	58	DeProgram (Ted Rall)	DeProgram (Ted Rall)
youtube	lhtyX01IUaE	58	DeProgram (Ted Rall)	DeProgram (Ted Rall)
youtube	6uJAMwNGkkQ	58	DeProgram (Ted Rall)	DeProgram (Ted Rall)
youtube	xcrldA-Golc	58	DeProgram (Ted Rall)	CIA Cover-Up on JFK Exposed
youtube	y4aXSSD0_Zs	54	The Deep Focus Show	Held Captive 100+ Days by the Taliban w/ Safi Rauf
youtube	GzSIp9kONVA	51	John Kiriakou Podcast	John Kiriakou Podcast
youtube	iN56bHhDu5Q	50	The Deep Focus Show	Is U.S. Global Dominance Eroding? w/ Alfred McCoy
youtube	7h9bYpFCKnk	50	The Deep Focus Show	Complicity In Gaza's Genocide w/ Richard Falk
youtube	gQKwm0KKqnM	47	John Kiriakou Podcast	The Most Secret CIA Unit Ever
youtube	CPl_y9pkCA0	46	The JK Report	Roger Waters on Palestine, Human Rights
youtube	KfS3KjUGE4I	46	The Deep Focus Show	RUSSIAGATE — A Major Dividing Line w/ Matt Taibbi
youtube	9BR1fFm9tWA	44	The Deep Focus Show	The Call is to Liberate Palestine w/ Miko Peled
youtube	NHevWAzEsic	42	The Deep Focus Show	Taxpayers Against Genocide w/ Seth Donnelly
youtube	cXflhWX1LZw	42	John Kiriakou Podcast	John Kiriakou Podcast
youtube	qeREwBGVig8	38	The Deep Focus Show	Is World War 3 Starting?
youtube	o8wzZ1X1Gy0	34	The JK Report	What Most People Are Missing
youtube	pqUEWuXM2Y4	33	John Kiriakou Podcast	The REAL Risk of Israel Using Nukes
youtube	lffVtXOhGXY	31	The Deep Focus Show	Europe Is Running Out of Fuel w/ Richard Wolff
youtube	G8eA70X9NOU	24	Enema of the State	Kiriakou Reports on the Flawed Business Model
youtube	My6xUH_kOwo	16	DeProgram (Ted Rall)	SOTU: A Complete Disaster
youtube	Mt2KfZSiUmE	14	The Deep Focus Show	Epstein: NEW Bombshell Developments
youtube	ZwuKmPsXKPs	11	DeProgram (Ted Rall)	Greek Spies, Epstein, Aliens, CIA
youtube	pfFvuCYmaXs	10	DeProgram (Ted Rall)	Bad Bunny, Epstein Files, and more!
youtube	lQYGh8EnFag	9	The Kiriakou Report	Why CIA Torture Was Illegal and Ineffective
youtube	UYXk2Ze7AIo	8	The JK Report	The JK Report
youtube	rL2Gn9LbwCU	8	DeProgram (Ted Rall)	Pam Bondi's Embarrassing Epstein Hearing
youtube	c_0g3SxGsqQ	8	DeProgram (Ted Rall)	On CIA Psychologists, Torture, Mamdani
youtube	tN4O6xu4SQk	29	"tulwave" (unknown)	unknown/re-upload channel
youtube	0r560eBIwWE	16	Stephen Gardner	title doesn't name John — confirm presence
youtube	Pcfwx50zl40	57	Insider — "Authorized Account"	title doesn't name John — confirm subject
youtube	9HnVrPVVHAE	39	Covert Operations Insight	channel re-cuts heavily; corpus has 5 of its eps
youtube	RPRxuwCA46k	40	Covert Operations Insight	Covert Operations Insight
youtube	bPtOc_AqogU	42	Covert Operations Insight	Dark Secrets Behind the Torture Program
youtube	BQ93Fy1jfbA	68	Covert Strategies Revealed	corpus has osXgMj89FwQ from this show
youtube	B70zQHKcSxE	66	The Dr. Phil Podcast	likely = ingested ev1ozulvly8
youtube	HGqUuOqzvM4	54	The Dr. Phil Podcast	likely = ingested aYK16WJ1WsU
youtube	1K5-zKDaDV8	15	The Dr. Phil Podcast	short clip of the full Dr. Phil ep
youtube	n-6kQ-PmRgM	34	john brown — "Full 2007 ABC Interview"	historic (his seminal ABC waterboarding interview) but a re-upload; confirm source
youtube	rtd4SW38irE	42	Elizabeth Lane TV	co-branded personal channel — confirm real interview
youtube	adp-UPxtBMs	36	Leonardo Salvaggio	personal channel, Saudi/9-11 — probe
youtube	grlBxKDqYrQ	52	Opperman Report	"Reluctant Spy" era radio — probe
youtube	U8tUetLWC54	58	Terrorpedia Video Center	aggregator channel — likely re-upload
youtube	CxG3Nosbl1s	20	The Honest Talk	credits "Steven Bartlett" — likely mislabeled re-upload
youtube	CAmAja1Rly0	34	Giorgos Omirou	clickbait title, personal channel — probe
youtube	yL8rVbWniW4	17	FlyingOverTr0ut	re-upload "Pt 1"
youtube	s5qHlmDHnDE	25	yusefs report	clip ("Scott Horton x Kiriakou DESTROY Dershowitz on Piers")
youtube	Qpd5EXPydaA	17	Golden Gems	clip channel
youtube	oTEqohDrY7M	28	Veil veil veil 3	re-upload/clip channel
youtube	tzTHekWvcic	51	Art and documentary	Art and documentary
youtube	bqWcgBb6GDM	29	Cafe Weltschmerz (Dutch)	Dutch-language framing — confirm John speaks / not a dub
youtube	fi_wjzmlEWs	56	#Unity4J	"FULL INTERVIEW" — probably solo, confirm
youtube	Y_C92BT8Fzk	58	#Unity4J	vigil — confirm not panel
youtube	R2FzEJrsqRQ	42	#Unity4J	Vigil 17 — confirm not panel
youtube	lN8djjLHK4k	58	Suzi 3D	Unity4J "FULL INTERVIEW"
youtube	mkdGNyIicEU	53	Suzi 3D	Unity4J vigil
youtube	I6dljiI06es	174	Internet Party	Internet Party
youtube	dAlNZvr4ims	174	Internet Party	Internet Party
youtube	_j2hACrlzVA	157	Finding Truth With Harjeet	Finding Truth With Harjeet
youtube	ZyCLngdLCYo	144	Katie Halper	Katie Halper
youtube	aZxNTiekLGU	142	Consortium News	Consortium News
youtube	TqRitpA92Ws	115	The Roundtable — Gonzalo L	The Roundtable #21: Suzie Dawson, John Kiriakou, Ray McGovern
youtube	IYF3-fJ8QEY	115	THE DIVE IN WITH RATTAN	THE DIVE IN WITH RATTAN
youtube	9mIoBeXrB_0	113	Action 4 Assange	Action 4 Assange
youtube	GygbALerANE	106	A Good Place with Ella & A	A Good Place with Ella & A
youtube	nrGSOXvNrdw	96	The Roundtable — Gonzalo L	The Roundtable — Gonzalo L
youtube	VEeFY6ACD5Y	92	Ian Discussions	Ian's discussions with John Kiriakou
youtube	tUxyyvi_ORE	83	Covert Strategies Revealed	Covert Strategies Revealed
youtube	XYd28m0_Zfo	82	Live on the Fly with Randy	Live on the Fly with Randy
youtube	MhIgw7ac80I	76	Covert Strategies Revealed	Covert Strategies Revealed
youtube	YixkmCXIDpU	67	DMZ America Podcast	DMZ America Podcast
youtube	qwEqr257Xgc	67	Echo Zip	John Kiriakou’s Entire Life in 67 Minutes
youtube	2xUklyNdFdA	66	Around The Empire	Around The Empire
youtube	il_KYmRx24Q	65	THE NEVER BROKEN PODCAST	THE NEVER BROKEN PODCAST
youtube	WWsbNCBI434	64	Savage Joy Marie Mann	Savage Joy and JOHN KIRIAKOU
youtube	p8QQGwrN5Ag	64	Freedom Hub Working Group	Freedom Hub Working Group
youtube	nso3y9TFr9s	61	Revolutionary Change	Revolutionary Change
youtube	S9gGJeXpPBo	61	Adoteq	John Kiriakou: CIA Secrets, Soft Power, and the Poppy Trade
youtube	tZ433hZpjOA	59	American Exception	The Oily War of Drugs - John Kiriakou (DCC29)
youtube	b7OPeJrTqPA	59	Jack Hopkins	Jack Hopkins
youtube	QRvbkLfSFgw	58	#Unity4J	#Unity4J
youtube	ulc3YGqjKvk	57	One America News Network	One America News Network
youtube	tE62XpsFX00	57	David Hartful	John Kiriakou speaks at Venezuelan Embassy 04-24-2019
youtube	NOqRvWc5_AA	56	Politics Done Right	Politics Done Right
youtube	PCAYwyiEbY8	54	Fort Collins Community Act	John Kiriakou, CIA whistle blower part 1
youtube	KIU21Gq6xUw	54	KGNU Community Radio	KGNU Community Radio
youtube	wSDydqdERPQ	53	Unfiltered With S.A.M.	Unfiltered With S.A.M.
youtube	dOzonepgGBk	50	Consortium News	Duggan Extradition - John Kiriakou & Senator David Shoebridge
youtube	okR1rm1B_qY	50	awakeradio1	awakeradio1
youtube	tfezVxYzOGE	50	Sharon Kyle	LA Progressive interview with John Kiriakou
youtube	aMBuTzzYChY	49	ScheerPost	ScheerPost
youtube	E6hUaGpckB0	48	TruthOverComfort	TruthOverComfort
youtube	d9P8F7quHFI	46	HispaUnidad	HispaUnidad
youtube	iJf88y5NwJw	46	Government Accountability	Full Video: Kiriakou Portrait Unveiling @ Busboys & Poets
youtube	06-usYETsbo	44	HR News Channel	HR News Channel
youtube	0wyH1-MSOaw	42	Addy Adds Official - Publi	Addy Adds Official - Publi
youtube	hCaPEPF_Cmc	42	Free MartyG	John Kiriakou & Dana Gottesfeld conversation
youtube	hxXDuXs434o	42	HR News Channel	HR News Channel
youtube	zFxVeUe2CVo	42	Allen Richie	Allen Richie
youtube	QgJLnojqKY8	41	Potkaars podcast	Potkaars podcast
youtube	AkSQ1O2wFsM	41	#Unity4J	John Kiriakou and Lee Stranahan discuss ...
youtube	nOKdI6LE7Hg	41	American Exception	Exceptional American Failures - John Kiriakou (DCC70)
youtube	LU-tNToDV-Y	40	Suzi 3D	Suzi 3D
youtube	t87STIG3TpY	39	Stack The Legal Odds In Yo	The Legal Power Hour - with Guest: John Kiriakou
youtube	NnK4dTFJaE0	37	Cat April Watters	Cat April Watters
youtube	178ec0ZUJPQ	35	Piers Morgan Uncensored	Piers Morgan Uncensored
youtube	MT8DwRsee84	35	ScheerPost	ScheerPost
youtube	IoD9wBwNH8I	33	Foreign Correspondents: De	Episode 25: "Mr. & Mrs. Smith" (1941) feat. Olympia Kiriakou
youtube	TtFXCGDZKjw	33	Human Rights Defense Cente	Human Rights Defense Cente
youtube	J-YSYuGX7IE	32	Stack The Legal Odds In Yo	The Legal Power Hour - with Second-Time Guest: John Kiriakou
youtube	uz06eViSJdo	30	Full Audiobook	Full Audiobook
youtube	q1Pt_pZgzqw	29	The Bitter Truth with Abe	The Bitter Truth with Abe
youtube	tA8xlyWh2uM	29	Kiriakou Insights	Kiriakou Insights
youtube	iLYqlR0kP9w	28	The Real News Network	The Real News Network
youtube	KqU-Yr0OsMc	28	ORCA Media	House at Pooh Corner - Imprisoning the Heroes - John Kiriakou
youtube	hdfJ51hKM9E	28	Judge Napolitano - Judging	John Kiriakou  :  How Rogue Is US Intelligence?
youtube	5ETk7Q-8Ez4	28	The Bitter Truth with Abe	The Bitter Truth with Abe
youtube	-nKDvf6ixOM	26	Liberty Vault	Liberty Vault
youtube	Bpegzp09Vpo	26	Black Archives	Black Archives
youtube	fy86vzToyDI	25	Liberty Vault	Liberty Vault
youtube	QoAXPXTBUrw	24	Cat April Watters	Cat April Watters
youtube	LZIMbHr2GNk	24	#Unity4J	#Unity4J
youtube	d1mAmKfGNVU	24	Liberty Vault	Liberty Vault
youtube	E82OrQF9nkY	24	The Real News Network	The Real News Network
youtube	9R5FpNBJ8GQ	24	Enema of the State	Enema of the State
youtube	H-UjcZkxcU4	24	Indie News Network (INN)	Indie News Network (INN)
youtube	pFotqzActGI	23	David Gornoski Archives	David Gornoski Archives
youtube	M4Eav5a1SNE	23	Liberty Vault	Liberty Vault
youtube	qgGxUpHktUU	22	Enema of the State	Enema of the State
youtube	78XbkZtyR2U	22	Internet Party	Internet Party
youtube	Mabclbi5Dp4	22	The Real News Network	The Real News Network
youtube	74IHPW5CWRk	22	The Jimmy Dore Show	The Jimmy Dore Show
youtube	9SKfZ5f_29Y	21	awakeradio1	awakeradio1
youtube	1pxXzKfr28g	21	Useful Idiots	Useful Idiots
youtube	cdCAKYYH3Yo	21	The Real News Network	The Real News Network
youtube	R_oIObeqj6U	20	RDAP DAN	RDAP DAN
youtube	0oscOuMADGI	19	Kevin Gosztola	Kevin Gosztola
youtube	Xzt8oI5gyDM	19	#Unity4J	#Unity4J
youtube	MP_eiedTAzE	18	TDP Fyp	John Kiriakou Funny moments 🤣🤣🤣
youtube	bQCGkMcYbtI	18	Liberty Vault	Liberty Vault
youtube	WUh6o8pBCPg	18	Liberty Vault	Liberty Vault
youtube	a2NYakihrDg	18	Revolutionary Change	Revolutionary Change
youtube	i_Jx9h97-ig	17	Graham Elwood	Graham Elwood
youtube	sOKugb7jZl0	17	Revolutionary Change	Revolutionary Change
youtube	bsnqAS12bO4	17	The Honest Talk	The Honest Talk
youtube	mMAoad0hQUw	17	The Jimmy Dore Show	The Jimmy Dore Show
youtube	ZKTfNz1JIoE	17	The Real News Network	The Iraqi Pissing Match - John Kiriakou on RAI (4/10)
youtube	xrjng6Ccz6k	17	The Honest Talk	The Honest Talk
youtube	VsZukq8WxYQ	16	Nietzsche	John Kiriakou Sentenced to prison
youtube	iCUpSKD4T4o	16	TCM TV	TCM TV
youtube	wlJO1uL1CsE	16	The Real News Network	The Real News Network
youtube	8pKNKfCgRHo	16	Redacted	Redacted
youtube	kjO7saoQjNk	15	The Real News Network	They Won't Shut Me Up  - John Kiriakou on RAI (10/10)
youtube	lmh18pD_RKM	14	Jackson Hinkle Official an	EX-CIA JOHN KIRIAKOU: VENEZUELA WAR IS ABOUT CHINA
youtube	y88pl9VpEOw	14	Liberty Vault	Liberty Vault
youtube	W6OZ4ClS_uQ	14	David Gornoski Archives	David Gornoski Archives
youtube	Yn_cApN--DY	14	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	Ohu27f0YSgc	14	Liberty Vault	John Kiriakou Is CERTAIN That Epstein Was Working for Israel
youtube	xt54krA-ApU	14	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	krYI54XbO6I	13	Dollar Stream	Dollar Stream
youtube	epa3Xu10wDI	13	Berlin gegen Krieg	Berlin gegen Krieg
youtube	GzJvcgAOf_c	13	The Third Way - Orthodox T	John Kiriakou - Prison, Islam, and Serving in Bahrain
youtube	QSHXNtBrjC0	13	The Jimmy Dore Show	The Jimmy Dore Show
youtube	-USZZB6q--0	13	ANI News	ANI News
youtube	sgtnG9v_5bU	13	The Third Way - Orthodox T	The Third Way - Orthodox T
youtube	2bFaSv86j4M	13	Adelya F. Hako	BEYOND THE HORIZON / S1 : E9 / JOHN KIRIAKOU
youtube	fqwItTzkhS8	13	dece media	dece media
youtube	blxCVqUtj6E	13	RYOT	Lies and Torture of the CIA with John Kiriakou and Jared Leto
youtube	NWlx41Hqf5A	13	The Real News Network	The Real News Network
youtube	43eOaqG7SFM	13	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	wccHWJxfcXk	13	Viral Plug	John Kiriakou CIA Story Meme Compilation - PART 2
youtube	9b6OyFgK-Hg	13	Podcast UFO Live Shows	Podcast UFO Live Shows
youtube	3FQPANN0LUo	13	JayArgonaut	RT Interview with CIA Whistleblower John Kiriakou
youtube	BZwmVBLm2mo	13	Dalton Fischer Podcast	3 CIA Training Exercises For New Recruits / John Kiriakou
youtube	GRrm29eEzQ0	13	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	e4YyBCvBaj4	13	Valuetainment	Valuetainment
youtube	qUl2cHLx9Ug	13	Michael H. Rhee	CIA Whistleblower John Kiriakou  'If I Tortured, I'd Be Free'
youtube	X4OydjOsLiQ	13	Revolutionary Change	Revolutionary Change
youtube	dO5QB3MDotg	13	Alittlepart Ofme (CallMeCo	Alittlepart Ofme (CallMeCo
youtube	2T5c5REOlyM	12	Dalton Fischer Podcast	Dalton Fischer Podcast
